MAG	category	KO	gene	copies
coasm_bin.260	Type IV pili	K02666	pilQ	0
coasm_bin.481	Type IV pili	K02666	pilQ	0
coasm_bin.55	Type IV pili	K02669	pilT	1
CAN_2_bin.6	Type IV pili	K02669	pilT	1
CAN_1_bin.210	Type IV pili	K02669	pilT	1
CAN_1_bin.77	Type IV pili	K02669	pilT	5
CAN_5_bin.112	Type IV pili	K02669	pilT	0
coasm_bin.260	Type IV pili	K02669	pilT	0
coasm_bin.481	Type IV pili	K02669	pilT	0
coasm_bin.55	Type IV pili	K02670	pilU	3
CAN_2_bin.6	Type IV pili	K02670	pilU	2
CAN_1_bin.210	Type IV pili	K02670	pilU	2
CAN_1_bin.77	Type IV pili	K02670	pilU	0
CAN_5_bin.112	Type IV pili	K02670	pilU	0
coasm_bin.260	Type IV pili	K02670	pilU	0
coasm_bin.481	Type IV pili	K02670	pilU	0
coasm_bin.55	B12 transport	K16092	btuB	1
CAN_2_bin.6	B12 transport	K16092	btuB	0
CAN_1_bin.210	B12 transport	K16092	btuB	1
CAN_1_bin.77	B12 transport	K16092	btuB	1
CAN_5_bin.112	B12 transport	K16092	btuB	0
coasm_bin.260	B12 transport	K16092	btuB	0
coasm_bin.481	B12 transport	K16092	btuB	0
coasm_bin.55	B12 transport	K06073	btuC	0
CAN_2_bin.6	B12 transport	K06073	btuC	0
CAN_1_bin.210	B12 transport	K06073	btuC	0
CAN_1_bin.77	B12 transport	K06073	btuC	0
CAN_5_bin.112	B12 transport	K06073	btuC	0
coasm_bin.260	B12 transport	K06073	btuC	0
coasm_bin.481	B12 transport	K06073	btuC	0
coasm_bin.55	B12 transport	K06074	btuD	0
CAN_2_bin.6	B12 transport	K06074	btuD	0
CAN_1_bin.210	B12 transport	K06074	btuD	0
CAN_1_bin.77	B12 transport	K06074	btuD	0
CAN_5_bin.112	B12 transport	K06074	btuD	0
coasm_bin.260	B12 transport	K06074	btuD	0
coasm_bin.481	B12 transport	K06074	btuD	0
coasm_bin.55	B12 transport	K06858	btuF	0
CAN_2_bin.6	B12 transport	K06858	btuF	0
CAN_1_bin.210	B12 transport	K06858	btuF	0
CAN_1_bin.77	B12 transport	K06858	btuF	0
CAN_5_bin.112	B12 transport	K06858	btuF	0
coasm_bin.260	B12 transport	K06858	btuF	0
coasm_bin.481	B12 transport	K06858	btuF	0
coasm_bin.55	B12 transport	K03832	tonB	1
CAN_2_bin.6	B12 transport	K03832	tonB	6
CAN_1_bin.210	B12 transport	K03832	tonB	5
CAN_1_bin.77	B12 transport	K03832	tonB	8
CAN_5_bin.112	B12 transport	K03832	tonB	3
coasm_bin.260	B12 transport	K03832	tonB	0
coasm_bin.481	B12 transport	K03832	tonB	0
coasm_bin.55	B12 transport	K03561	exbB	2
CAN_2_bin.6	B12 transport	K03561	exbB	3
CAN_1_bin.210	B12 transport	K03561	exbB	3
CAN_1_bin.77	B12 transport	K03561	exbB	2
CAN_5_bin.112	B12 transport	K03561	exbB	2
coasm_bin.260	B12 transport	K03561	exbB	0
coasm_bin.481	B12 transport	K03561	exbB	0
coasm_bin.55	B12 transport	K03559	exbD	2
CAN_2_bin.6	B12 transport	K03559	exbD	3
CAN_1_bin.210	B12 transport	K03559	exbD	4
CAN_1_bin.77	B12 transport	K03559	exbD	6
CAN_5_bin.112	B12 transport	K03559	exbD	4
coasm_bin.260	B12 transport	K03559	exbD	0
coasm_bin.481	B12 transport	K03559	exbD	0
coasm_bin.55	B12 biosynthesis	K09882	cobS-chel	0
CAN_2_bin.6	B12 biosynthesis	K09882	cobS-chel	0
CAN_1_bin.210	B12 biosynthesis	K09882	cobS-chel	0
CAN_1_bin.77	B12 biosynthesis	K09882	cobS-chel	0
CAN_5_bin.112	B12 biosynthesis	K09882	cobS-chel	0
coasm_bin.260	B12 biosynthesis	K09882	cobS-chel	0
coasm_bin.481	B12 biosynthesis	K09882	cobS-chel	0
coasm_bin.55	B12 biosynthesis	K02232	cobQ	1
CAN_2_bin.6	B12 biosynthesis	K02232	cobQ	0
CAN_1_bin.210	B12 biosynthesis	K02232	cobQ	0
CAN_1_bin.77	B12 biosynthesis	K02232	cobQ	0
CAN_5_bin.112	B12 biosynthesis	K02232	cobQ	0
coasm_bin.260	B12 biosynthesis	K02232	cobQ	0
coasm_bin.481	B12 biosynthesis	K02232	cobQ	0
coasm_bin.55	B12 biosynthesis	K02233	cobS	1
CAN_2_bin.6	B12 biosynthesis	K02233	cobS	1
CAN_1_bin.210	B12 biosynthesis	K02233	cobS	0
CAN_1_bin.77	B12 biosynthesis	K02233	cobS	0
CAN_5_bin.112	B12 biosynthesis	K02233	cobS	0
coasm_bin.260	B12 biosynthesis	K02233	cobS	0
coasm_bin.481	B12 biosynthesis	K02233	cobS	0
coasm_bin.55	B12 biosynthesis	K00768	cobT	1
CAN_2_bin.6	B12 biosynthesis	K00768	cobT	1
CAN_1_bin.210	B12 biosynthesis	K00768	cobT	0
CAN_1_bin.77	B12 biosynthesis	K00768	cobT	0
CAN_5_bin.112	B12 biosynthesis	K00768	cobT	0
coasm_bin.260	B12 biosynthesis	K00768	cobT	0
coasm_bin.481	B12 biosynthesis	K00768	cobT	0
coasm_bin.55	B12 biosynthesis	K02231	cobU	1
CAN_2_bin.6	B12 biosynthesis	K02231	cobU	1
CAN_1_bin.210	B12 biosynthesis	K02231	cobU	0
CAN_1_bin.77	B12 biosynthesis	K02231	cobU	0
CAN_5_bin.112	B12 biosynthesis	K02231	cobU	0
coasm_bin.260	B12 biosynthesis	K02231	cobU	0
coasm_bin.481	B12 biosynthesis	K02231	cobU	0
coasm_bin.55	Biotin biosynthesis	K01012	bioB	1
CAN_2_bin.6	Biotin biosynthesis	K01012	bioB	1
CAN_1_bin.210	Biotin biosynthesis	K01012	bioB	1
CAN_1_bin.77	Biotin biosynthesis	K01012	bioB	1
CAN_5_bin.112	Biotin biosynthesis	K01012	bioB	0
coasm_bin.260	Biotin biosynthesis	K01012	bioB	0
coasm_bin.481	Biotin biosynthesis	K01012	bioB	0
coasm_bin.55	Biotin biosynthesis	K00833	bioA	1
CAN_2_bin.6	Biotin biosynthesis	K00833	bioA	1
CAN_1_bin.210	Biotin biosynthesis	K00833	bioA	1
CAN_1_bin.77	Biotin biosynthesis	K00833	bioA	0
