MAG	KO	gene	protein_id	score	score_type	threshold
CAN_1_bin.77	K03841	fbp	CAN_1_bin.77|DLHCAE_01464	389.0	full	204.73
CAN_1_bin.77	K07636	phoR	CAN_1_bin.77|DLHCAE_02264	340.0	domain	329.53
CAN_1_bin.77	K16092	btuB	CAN_1_bin.77|DLHCAE_01128	448.4	full	417.03
CAN_1_bin.77	K22468	ppk2	CAN_1_bin.77|DLHCAE_02109	410.2	domain	279.07
CAN_2_bin.6	K00023	phaB	CAN_2_bin.6|HMFKDB_02022	418.5	domain	332.13
CAN_2_bin.6	K00023	phaB	CAN_2_bin.6|HMFKDB_02023	395.1	domain	332.13
CAN_2_bin.6	K00134	gapA	CAN_2_bin.6|HMFKDB_01021	576.4	full	403.30
CAN_2_bin.6	K00625	pta	CAN_2_bin.6|HMFKDB_01765	453.0	domain	390.43
CAN_2_bin.6	K00626	phaA	CAN_2_bin.6|HMFKDB_00655	581.6	full	498.47
CAN_2_bin.6	K00652	bioF	CAN_2_bin.6|HMFKDB_01894	533.0	domain	453.00
CAN_2_bin.6	K00688	glgP	CAN_2_bin.6|HMFKDB_02727	317.8	domain	72.63
CAN_2_bin.6	K00700	glgB	CAN_2_bin.6|HMFKDB_01800	1084.9	domain	287.03
CAN_2_bin.6	K00703	glgA	CAN_2_bin.6|HMFKDB_02728	582.0	domain	122.93
CAN_2_bin.6	K00705	malQ	CAN_2_bin.6|HMFKDB_01794	723.5	full	82.80
CAN_2_bin.6	K00768	cobT	CAN_2_bin.6|HMFKDB_00316	454.1	full	80.87
CAN_2_bin.6	K00833	bioA	CAN_2_bin.6|HMFKDB_01895	580.6	domain	430.53
CAN_2_bin.6	K00925	ackA	CAN_2_bin.6|HMFKDB_01764	532.8	full	173.57
CAN_2_bin.6	K00937	ppk1	CAN_2_bin.6|HMFKDB_02977	981.2	full	310.13
CAN_2_bin.6	K00975	glgC	CAN_2_bin.6|HMFKDB_01797	463.1	full	189.93
CAN_2_bin.6	K00975	glgC	CAN_2_bin.6|HMFKDB_02722	543.9	full	189.93
CAN_2_bin.6	K01006	ppdk	CAN_2_bin.6|HMFKDB_02583	1371.6	domain	353.27
CAN_2_bin.6	K01012	bioB	CAN_2_bin.6|HMFKDB_02673	537.8	full	159.77
CAN_2_bin.6	K01214	glgX	CAN_2_bin.6|HMFKDB_01796	1332.1	full	974.53
CAN_2_bin.6	K01596	pckA(GTP)	CAN_2_bin.6|HMFKDB_01146	1068.7	full	129.60
CAN_2_bin.6	K01847	mcm	CAN_2_bin.6|HMFKDB_00335	1186.5	full	716.47
CAN_2_bin.6	K01895	acs	CAN_2_bin.6|HMFKDB_01983	1011.6	domain	758.93
CAN_2_bin.6	K01908	prpE	CAN_2_bin.6|HMFKDB_00742	936.9	domain	759.70
CAN_2_bin.6	K01935	bioD	CAN_2_bin.6|HMFKDB_01893	262.2	full	122.67
CAN_2_bin.6	K02036	pstB	CAN_2_bin.6|HMFKDB_01055	437.8	domain	268.67
CAN_2_bin.6	K02037	pstC	CAN_2_bin.6|HMFKDB_01053	350.3	domain	261.23
CAN_2_bin.6	K02038	pstA	CAN_2_bin.6|HMFKDB_01054	347.2	domain	248.13
CAN_2_bin.6	K02040	pstS	CAN_2_bin.6|HMFKDB_01052	291.5	domain	59.60
CAN_2_bin.6	K02231	cobU	CAN_2_bin.6|HMFKDB_00317	237.4	domain	35.80
CAN_2_bin.6	K02233	cobS	CAN_2_bin.6|HMFKDB_00315	246.9	full	32.73
CAN_2_bin.6	K02650	pilA	CAN_2_bin.6|HMFKDB_02456	125.7	full	84.30
CAN_2_bin.6	K02652	pilB	CAN_2_bin.6|HMFKDB_02524	700.7	full	692.57
CAN_2_bin.6	K02652	pilB	CAN_2_bin.6|HMFKDB_02649	733.8	full	692.57
CAN_2_bin.6	K02652	pilB	CAN_2_bin.6|HMFKDB_02690	704.2	full	692.57
CAN_2_bin.6	K02653	pilC	CAN_2_bin.6|HMFKDB_02650	525.5	full	442.53
CAN_2_bin.6	K02654	pilD	CAN_2_bin.6|HMFKDB_02651	330.8	full	134.93
CAN_2_bin.6	K02662	pilM	CAN_2_bin.6|HMFKDB_00808	329.6	domain	119.60
CAN_2_bin.6	K02663	pilN	CAN_2_bin.6|HMFKDB_00809	139.4	domain	66.13
CAN_2_bin.6	K02664	pilO	CAN_2_bin.6|HMFKDB_00810	181.7	full	66.67
CAN_2_bin.6	K02665	pilP	CAN_2_bin.6|HMFKDB_00811	179.6	domain	106.33
CAN_2_bin.6	K02666	pilQ	CAN_2_bin.6|HMFKDB_00812	742.3	full	452.70
CAN_2_bin.6	K02669	pilT	CAN_2_bin.6|HMFKDB_00374	555.7	full	468.20
CAN_2_bin.6	K02670	pilU	CAN_2_bin.6|HMFKDB_00373	658.7	domain	491.17
CAN_2_bin.6	K02670	pilU	CAN_2_bin.6|HMFKDB_02088	605.1	domain	491.17
CAN_2_bin.6	K03559	exbD	CAN_2_bin.6|HMFKDB_00765	98.5	domain	29.70
CAN_2_bin.6	K03559	exbD	CAN_2_bin.6|HMFKDB_00801	135.5	domain	29.70
CAN_2_bin.6	K03559	exbD	CAN_2_bin.6|HMFKDB_02750	131.8	domain	29.70
CAN_2_bin.6	K03561	exbB	CAN_2_bin.6|HMFKDB_00766	168.5	full	57.13
CAN_2_bin.6	K03561	exbB	CAN_2_bin.6|HMFKDB_00800	168.8	full	57.13
CAN_2_bin.6	K03561	exbB	CAN_2_bin.6|HMFKDB_02749	181.9	full	57.13
CAN_2_bin.6	K03821	phaC	CAN_2_bin.6|HMFKDB_00648	793.0	full	171.30
CAN_2_bin.6	K03821	phaC	CAN_2_bin.6|HMFKDB_01523	676.6	full	171.30
CAN_2_bin.6	K03821	phaC	CAN_2_bin.6|HMFKDB_02021	743.8	full	171.30
CAN_2_bin.6	K03832	tonB	CAN_2_bin.6|HMFKDB_00397	72.6	domain	34.90
CAN_2_bin.6	K03832	tonB	CAN_2_bin.6|HMFKDB_00764	44.6	domain	34.90
CAN_2_bin.6	K03832	tonB	CAN_2_bin.6|HMFKDB_00799	108.9	domain	34.90
CAN_2_bin.6	K03832	tonB	CAN_2_bin.6|HMFKDB_01499	37.2	domain	34.90
CAN_2_bin.6	K03832	tonB	CAN_2_bin.6|HMFKDB_01578	83.6	domain	34.90
CAN_2_bin.6	K03832	tonB	CAN_2_bin.6|HMFKDB_02322	87.1	domain	34.90
CAN_2_bin.6	K07636	phoR	CAN_2_bin.6|HMFKDB_01058	354.3	domain	329.53
CAN_2_bin.6	K07657	phoB	CAN_2_bin.6|HMFKDB_01057	340.9	domain	304.03
CAN_5_bin.112	K00134	gapA	CAN_5_bin.112|DCCNNJ_01368	458.5	full	403.30
CAN_5_bin.112	K00626	phaA	CAN_5_bin.112|DCCNNJ_01065	507.0	full	498.47
CAN_5_bin.112	K00626	phaA	CAN_5_bin.112|DCCNNJ_02169	619.2	full	498.47
CAN_5_bin.112	K00688	glgP	CAN_5_bin.112|DCCNNJ_01146	147.6	domain	72.63
CAN_5_bin.112	K00700	glgB	CAN_5_bin.112|DCCNNJ_02015	924.4	domain	287.03
CAN_5_bin.112	K00703	glgA	CAN_5_bin.112|DCCNNJ_02021	531.2	domain	122.93
CAN_5_bin.112	K00705	malQ	CAN_5_bin.112|DCCNNJ_02007	528.3	full	82.80
CAN_5_bin.112	K00925	ackA	CAN_5_bin.112|DCCNNJ_01593	581.2	full	173.57
CAN_5_bin.112	K00975	glgC	CAN_5_bin.112|DCCNNJ_02020	527.3	full	189.93
CAN_5_bin.112	K01006	ppdk	CAN_5_bin.112|DCCNNJ_03233	1388.5	domain	353.27
CAN_5_bin.112	K01179	celA	CAN_5_bin.112|DCCNNJ_00212	66.0	full	20.87
CAN_5_bin.112	K01183	chiA	CAN_5_bin.112|DCCNNJ_03435	155.7	full	113.60
CAN_5_bin.112	K01198	xynB	CAN_5_bin.112|DCCNNJ_00047	507.2	domain	270.47
CAN_5_bin.112	K01596	pckA(GTP)	CAN_5_bin.112|DCCNNJ_00170	1009.9	full	129.60
CAN_5_bin.112	K01848	mcm-N	CAN_5_bin.112|DCCNNJ_01453	903.3	domain	815.40
CAN_5_bin.112	K01895	acs	CAN_5_bin.112|DCCNNJ_00797	957.0	domain	758.93
CAN_5_bin.112	K03559	exbD	CAN_5_bin.112|DCCNNJ_00223	54.2	domain	29.70
CAN_5_bin.112	K03559	exbD	CAN_5_bin.112|DCCNNJ_01093	36.2	domain	29.70
CAN_5_bin.112	K03559	exbD	CAN_5_bin.112|DCCNNJ_01094	55.0	domain	29.70
CAN_5_bin.112	K03559	exbD	CAN_5_bin.112|DCCNNJ_02592	72.9	domain	29.70
CAN_5_bin.112	K03561	exbB	CAN_5_bin.112|DCCNNJ_01092	142.0	full	57.13
CAN_5_bin.112	K03561	exbB	CAN_5_bin.112|DCCNNJ_02593	133.4	full	57.13
CAN_5_bin.112	K03832	tonB	CAN_5_bin.112|DCCNNJ_00989	36.6	domain	34.90
CAN_5_bin.112	K03832	tonB	CAN_5_bin.112|DCCNNJ_01095	67.8	domain	34.90
CAN_5_bin.112	K03832	tonB	CAN_5_bin.112|DCCNNJ_01203	49.7	domain	34.90
CAN_5_bin.112	K03841	fbp	CAN_5_bin.112|DCCNNJ_02125	462.0	full	204.73
CAN_5_bin.112	K22468	ppk2	CAN_5_bin.112|DCCNNJ_01957	465.3	domain	279.07
coasm_bin.260	K00134	gapA	coasm_bin.260|FLKOMO_02666	507.4	full	403.30
coasm_bin.260	K00626	phaA	coasm_bin.260|FLKOMO_04373	571.3	full	498.47
coasm_bin.260	K00652	bioF	coasm_bin.260|FLKOMO_01372	487.9	domain	453.00
coasm_bin.260	K00652	bioF	coasm_bin.260|FLKOMO_02304	462.8	domain	453.00
coasm_bin.260	K00688	glgP	coasm_bin.260|FLKOMO_01963	1128.0	domain	72.63
coasm_bin.260	K00688	glgP	coasm_bin.260|FLKOMO_03613	374.0	domain	72.63
coasm_bin.260	K00700	glgB	coasm_bin.260|FLKOMO_04354	454.8	domain	287.03
coasm_bin.260	K00705	malQ	coasm_bin.260|FLKOMO_03480	495.2	full	82.80
coasm_bin.260	K00937	ppk1	coasm_bin.260|FLKOMO_00729	998.1	full	310.13
coasm_bin.260	K00937	ppk1	coasm_bin.260|FLKOMO_04863	1026.2	full	310.13
coasm_bin.260	K00975	glgC	coasm_bin.260|FLKOMO_02174	476.3	full	189.93
coasm_bin.260	K00975	glgC	coasm_bin.260|FLKOMO_02616	480.8	full	189.93
coasm_bin.260	K00975	glgC	coasm_bin.260|FLKOMO_02617	434.3	full	189.93
coasm_bin.260	K01006	ppdk	coasm_bin.260|FLKOMO_01512	1369.7	domain	353.27
coasm_bin.260	K01176	amyA	coasm_bin.260|FLKOMO_02934	300.7	domain	234.97
coasm_bin.260	K01176	amyA	coasm_bin.260|FLKOMO_04287	262.4	domain	234.97
