reference,querry,ani,alignment_coverage,primary_cluster
coasm_bin.233.fa,coasm_bin.233.fa,1.0,100.0,133
CAN_1_bin.123.fa,coasm_bin.233.fa,0.9679000000000001,72.44,133
CAN_1_bin.124.fa,CAN_1_bin.124.fa,1.0,100.0,1
CAN_5_bin.79.fa,CAN_1_bin.124.fa,0.9976,87.02,1
CAN_5_bin.79.fa,CAN_5_bin.79.fa,1.0,100.0,1
coasm_bin.518.fa,CAN_1_bin.124.fa,0.9998,84.25,1
coasm_bin.518.fa,CAN_5_bin.79.fa,0.9995,61.17,1
coasm_bin.518.fa,coasm_bin.518.fa,1.0,100.0,1
CAN_1_bin.124.fa,CAN_5_bin.79.fa,0.9976,62.92,1
CAN_1_bin.124.fa,coasm_bin.518.fa,0.9998,98.19,1
CAN_5_bin.79.fa,coasm_bin.518.fa,0.9995,98.59,1
CAN_1_bin.127.fa,CAN_1_bin.127.fa,1.0,100.0,23
CAN_3_bin.149.fa,CAN_1_bin.127.fa,0.9976999999999999,89.17,23
CAN_3_bin.149.fa,CAN_3_bin.149.fa,1.0,100.0,23
CAN_4_bin.238.fa,CAN_1_bin.127.fa,0.9992,89.48,23
CAN_4_bin.238.fa,CAN_3_bin.149.fa,0.9981,70.2,23
CAN_4_bin.238.fa,CAN_4_bin.238.fa,1.0,100.0,23
CAN_5_bin.21.fa,CAN_1_bin.127.fa,0.9987999999999999,86.62,23
CAN_5_bin.21.fa,CAN_3_bin.149.fa,0.9976,67.98,23
CAN_5_bin.21.fa,CAN_4_bin.238.fa,0.9997,96.77,23
CAN_5_bin.21.fa,CAN_5_bin.21.fa,1.0,100.0,23
coasm_bin.564.fa,CAN_1_bin.127.fa,0.9993000000000001,89.18,23
coasm_bin.564.fa,CAN_3_bin.149.fa,0.9981,69.92,23
coasm_bin.564.fa,CAN_4_bin.238.fa,0.9997,99.46,23
coasm_bin.564.fa,CAN_5_bin.21.fa,0.9997,99.62,23
coasm_bin.564.fa,coasm_bin.564.fa,1.0,100.0,23
