MAG,old_mag_iterativeID,old_intersection_id,new_mag_iterativeID,assignment_case
coasm_bin.535,Novosphingobium.2,Novosphingobium.2_ma,Novosphingobium.2,asv_inherit
coasm_bin.538,Defluviicoccus_m.1,Defluviicoccus.1_m,Defluviicoccus.4,asv_inherit
coasm_bin.539,Flavobacterium.25,Flavobacterium.25_ma,Flavobacterium.25,asv_inherit
coasm_bin.54,UBA2396_m.1,UBA2396.1_m,Phycisphaeraceae.34,asv_inherit
coasm_bin.540,Hoeflea.1,Hoeflea.1_ma,Pseudohoeflea.1_m,gtdb_genus
coasm_bin.542,UBA1924_m.2,UBA1924.2_m,Phycisphaeraceae.32,asv_inherit
coasm_bin.543,Fen-1058_m.1,Fen-1058.1_m,Anaerolineae.2,asv_inherit
coasm_bin.547,Bacteria_m.1,UBA9655.1_m,Ca_Bealeia.3,asv_inherit
coasm_bin.548,Phnomibacter_m.1,Phnomibacter.1_m,Phnomibacter.1_m,gtdb_genus
coasm_bin.55,Ca_Competibacter.51,Ca_Competibacter.51_ma,Competibacter.3_m,gtdb_genus
coasm_bin.551,UBA2336_m.1,UBA2336.1_m,Cyclobacteriaceae.2_m,gtdb_lowest
coasm_bin.555,Mesorhizobium.9,Mesorhizobium.9_ma,Mesorhizobium.9,asv_inherit
coasm_bin.556,JACRCT01_m.1,JACRCT01.1_m,Myxococcaceae.6,asv_inherit
coasm_bin.558,Arenimonas.5,Arenimonas.5_ma,Chiayiivirga.3_m,gtdb_genus
coasm_bin.561,PJMF01_m.1,PJMF01.1_m,Ca_Pacebacteria.2,asv_inherit
coasm_bin.563,Hydrogenophaga_m.3,Hydrogenophaga.3_m,Hydrogenophaga.6,asv_inherit
coasm_bin.572,UBA8950_m.1,UBA8950.1_m,Villigracilaceae.2_m,gtdb_lowest
coasm_bin.578,Terrimicrobium.3,Terrimicrobium.3_ma,Terrimicrobium.3,asv_inherit
coasm_bin.579,PHOS-HE28_m.2,PHOS-HE28.2_m,Flavobacteriales.7,asv_inherit
