Data type: genbank_genome; Columns: 9; Version: 1,,,,,,,,
staging_file_subdir_path,genome_name,source,release,genetic_code,scientific_name,genome_type,generate_ids_if_needed,generate_missing_genes
GenBank File Path,Genome Object Name,Source,Release,Genetic Code,Scientific Name,Genome Type,Generate IDs if Needed,Generate Missing Genes
bakta/coasm_bin.31.gbff,coasm_bin.31_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.312.gbff,coasm_bin.312_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.313.gbff,coasm_bin.313_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.314.gbff,coasm_bin.314_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.315.gbff,coasm_bin.315_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.318.gbff,coasm_bin.318_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.320.gbff,coasm_bin.320_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.321.gbff,coasm_bin.321_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.322.gbff,coasm_bin.322_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.324.gbff,coasm_bin.324_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.325.gbff,coasm_bin.325_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.335.gbff,coasm_bin.335_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.336.gbff,coasm_bin.336_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.337.gbff,coasm_bin.337_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.338.gbff,coasm_bin.338_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.340.gbff,coasm_bin.340_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.347.gbff,coasm_bin.347_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.348.gbff,coasm_bin.348_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.350.gbff,coasm_bin.350_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.358.gbff,coasm_bin.358_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.362.gbff,coasm_bin.362_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.364.gbff,coasm_bin.364_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.365.gbff,coasm_bin.365_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.367.gbff,coasm_bin.367_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.373.gbff,coasm_bin.373_bakta,Other,,11,unclassified bacterium,MAG,1,1
