parameter,ASV,rho,p_value,q_value,n,abs_rho
Ax_time [minutes],Comamonadaceae.35,-0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
A_time [minutes],Rhodobacteraceae.16,0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
A_time [minutes],Micavibrionales.3,0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
A_time [minutes],Thauera.81,0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
A_time [minutes],Comamonadaceae.35,0.7914176725628849,2.8994097398220155e-17,8.305011749792664e-15,75,0.7914176725628849
Ax_time [minutes],Comamonadaceae.27,-0.7910982677189977,3.047239281046447e-17,8.586525710714535e-15,75,0.7910982677189977
A_time [minutes],Comamonadaceae.27,0.7910982677189977,3.047239281046447e-17,8.586525710714535e-15,75,0.7910982677189977
Ax_time [minutes],Sphingopyxis.11,-0.7898597637586272,3.6922916128689786e-17,9.920243024064027e-15,75,0.7898597637586272
Ax_time [minutes],Sphingopyxis.23,-0.7898597637586272,3.6922916128689786e-17,9.920243024064027e-15,75,0.7898597637586272
Ax_time [minutes],Ferruginibacter.7,-0.7898597637586272,3.6922916128689786e-17,9.920243024064027e-15,75,0.7898597637586272
A_time [minutes],Sphingopyxis.11,0.7898597637586272,3.6922916128689786e-17,9.920243024064027e-15,75,0.7898597637586272
A_time [minutes],Sphingopyxis.23,0.7898597637586272,3.6922916128689786e-17,9.920243024064027e-15,75,0.7898597637586272
A_time [minutes],Ferruginibacter.7,0.7898597637586272,3.6922916128689786e-17,9.920243024064027e-15,75,0.7898597637586272
Ax_time [minutes],Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.6,-0.7883018549543696,4.6924602779067536e-17,1.2228269230975202e-14,75,0.7883018549543696
Ax_time [minutes],Hydrogenophaga.6,-0.7883018549543696,4.6924602779067536e-17,1.2228269230975202e-14,75,0.7883018549543696
