parameter,ASV,rho_interp,p_interp,n_interp,rho_meas,p_meas,n_meas,q_interp,q_meas,confirmed,rho_partial,p_partial,n_partial,q_partial,time_robust
Ax_time [minutes],Bdellovibrio.4,-0.8116704870182343,1.0253531512093873e-18,75,-0.8116704870182343,1.0253531512093873e-18,75,4.762828680772001e-16,3.696692751819958e-16,True,-0.4601359030484976,3.27504350313353e-05,75,0.0005080185591474846,True
Ax_time [minutes],Arenimonas.6,-0.8069967606054613,2.2957389084528833e-18,75,-0.8069967606054613,2.2957389084528833e-18,75,1.0406888726571052e-15,8.090802989048669e-16,True,-0.45458954943912516,4.18438469908006e-05,75,0.0006106102116435348,True
Ax_time [minutes],Thauera.73,-0.8012358257326516,6.019008196907759e-18,75,-0.8012358257326516,6.019008196907759e-18,75,2.664296275395935e-15,2.074639682463833e-15,True,-0.4927578624657374,7.089414781243875e-06,75,0.00015017362493602616,True
Ax_time [minutes],midas_g_100664.2,-0.8009988489578013,6.2582168094839674e-18,75,-0.8009988489578013,6.2582168094839674e-18,75,2.688789366637357e-15,2.102853751256419e-15,True,-0.4219166037526816,0.000163133192976055,75,0.0015722843211887856,True
Ax_time [minutes],Leadbetterella.13,-0.8007651253884307,6.503118468146166e-18,75,-0.8007651253884307,6.503118468146166e-18,75,2.688789366637357e-15,2.102853751256419e-15,True,-0.42568173008446764,0.00014043403480814727,75,0.0014187438388310262,True
Ax_time [minutes],Thauera.47,-0.8007651253884307,6.503118468146166e-18,75,-0.8007651253884307,6.503118468146166e-18,75,2.688789366637357e-15,2.102853751256419e-15,True,-0.4313021267687014,0.00011192003166128457,75,0.0012072532658186103,True
Ax_time [minutes],Chitinophagaceae.3,-0.7992072165841733,8.388484457899757e-18,75,-0.7992072165841733,8.388484457899757e-18,75,3.393728255144929e-15,2.6577091263281192e-15,True,-0.42074744441736855,0.00017084142427646793,75,0.0016258549219310306,True
Ax_time [minutes],Sphingopyxis.14,-0.7970546290384546,1.188130882854806e-17,75,-0.7970546290384546,1.188130882854806e-17,75,4.705623628148639e-15,3.689793393230084e-15,True,-0.5122347576962206,2.630935222320472e-06,75,8.098347481205203e-05,True
Ax_time [minutes],Emticicia.1,-0.7960913989756578,1.3865249333758353e-17,75,-0.7960913989756578,1.3865249333758353e-17,75,5.37814439363565e-15,4.222304957307422e-15,True,-0.41333078261681994,0.00022808589281324802,75,0.0019741782091535045,True
Ax_time [minutes],Ca_Contendobacter.2,-0.7948641690667856,1.6859856541298198e-17,75,-0.7948641690667856,1.6859856541298198e-17,75,6.407596993599441e-15,5.036440574041516e-15,True,-0.4516275800543827,4.7611570905709726e-05,75,0.0006747826955701306,True
Ax_time [minutes],midas_g_8315.1,-0.7945334901714001,1.7768015956474397e-17,75,-0.7945334901714001,1.7768015956474397e-17,75,6.619025746161873e-15,5.208519518605383e-15,True,-0.4148311883201581,0.00021524956374435858,75,0.0019187404550967712,True
Ax_time [minutes],Terrimonas.24,-0.7929755813671426,2.2721047812203202e-17,75,-0.7929755813671426,2.2721047812203202e-17,75,8.299800232370345e-15,6.538242070436382e-15,True,-0.4023748074925019,0.00034534836577497063,75,0.002681901631681647,True
Ax_time [minutes],Defluviicoccus.6,-0.7927222650003727,2.3643193995317205e-17,75,-0.7927222650003727,2.3643193995317205e-17,75,8.472144514988664e-15,6.681012818532608e-15,True,-0.40662327180981495,0.0002945287300530054,75,0.0024257407928013315,True
Ax_time [minutes],Proteiniclasticum.1,-0.7916783407338526,2.7839172082690376e-17,75,-0.7916783407338526,2.7839172082690376e-17,75,9.486112300939422e-15,7.515940983409698e-15,True,-0.43220642605698634,0.00010786670925304552,75,0.0011815084897366084,True
Ax_time [minutes],Rhodobacteraceae.13,-0.7914176725628849,2.8994097398220155e-17,75,-0.7914176725628849,2.8994097398220155e-17,75,9.486112300939422e-15,7.515940983409698e-15,True,-0.4410188275951517,7.488318264582326e-05,75,0.0009162724833060362,True
Ax_time [minutes],midas_g_20677.1,-0.7914176725628849,2.8994097398220155e-17,75,-0.7914176725628849,2.8994097398220155e-17,75,9.486112300939422e-15,7.515940983409698e-15,True,-0.39992510501388767,0.00037818328328977427,75,0.002876529220389403,True
Ax_time [minutes],Thauera.81,-0.7914176725628849,2.8994097398220155e-17,75,-0.7914176725628849,2.8994097398220155e-17,75,9.486112300939422e-15,7.515940983409698e-15,True,-0.399520869554538,0.0003838683011372324,75,0.002908540589385953,True
Ax_time [minutes],Comamonadaceae.32,-0.7914176725628849,2.8994097398220155e-17,75,-0.7914176725628849,2.8994097398220155e-17,75,9.486112300939422e-15,7.515940983409698e-15,True,-0.3966837842044854,0.0004260206356208946,75,0.0031315695976610537,True
Ax_time [minutes],Comamonadaceae.24,-0.7910982677189977,3.047239281046447e-17,75,-0.7910982677189977,3.047239281046447e-17,75,9.799348542681416e-15,7.770707909699419e-15,True,-0.340827607230211,0.0027695732824340414,75,0.012316161097957249,True
Ax_time [minutes],Sphingopyxis.11,-0.7898597637586272,3.6922916128689786e-17,75,-0.7898597637586272,3.6922916128689786e-17,75,1.1294509913349214e-14,8.97770687823631e-15,True,-0.41412265550775146,0.00022122611185412973,75,0.0019543293289355852,True
Ax_time [minutes],Sphingopyxis.23,-0.7898597637586272,3.6922916128689786e-17,75,-0.7898597637586272,3.6922916128689786e-17,75,1.1294509913349214e-14,8.97770687823631e-15,True,-0.40542852829064396,0.00030807831684862534,75,0.002487353623736852,True
Ax_time [minutes],Ferruginibacter.7,-0.7898597637586272,3.6922916128689786e-17,75,-0.7898597637586272,3.6922916128689786e-17,75,1.1294509913349214e-14,8.97770687823631e-15,True,-0.4030148991214514,0.000337210229060516,75,0.002646630084658233,True
Ax_time [minutes],Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.6,-0.7883018549543696,4.6924602779067536e-17,75,-0.7883018549543696,4.6924602779067536e-17,75,1.3901875429625324e-14,1.1066444291490468e-14,True,-0.3933650657000306,0.0004806755760428043,75,0.003440147536798602,True
Ax_time [minutes],Hydrogenophaga.6,-0.7883018549543696,4.6924602779067536e-17,75,-0.7883018549543696,4.6924602779067536e-17,75,1.3901875429625324e-14,1.1066444291490468e-14,True,-0.3983496488140458,0.0004007843178077457,75,0.0030020726466968026,True
Ax_time [minutes],Luteimonas.7,-0.786743946150112,5.951633616429498e-17,75,-0.786743946150112,5.951633616429498e-17,75,1.7358931381252703e-14,1.3828069630587231e-14,True,-0.42380080790758906,0.00015138206931364253,75,0.001483694908198387,True
Ax_time [minutes],Propionivibrio.1,-0.7865532201365565,6.126545202576415e-17,75,-0.7865532201365565,6.126545202576415e-17,75,1.7596279637170813e-14,1.4026658162336636e-14,True,-0.393560649324611,0.0004772850137627266,75,0.0034315747339874873,True
Ax_time [minutes],midas_g_36422.1,0.7814564260601721,1.314321161164635e-16,75,0.7814564260601721,1.314321161164635e-16,75,3.7181453901367966e-14,2.965827161229492e-14,True,0.623338277449063,2.3309726865852128e-09,75,9.184032385145739e-07,True
Ax_time [minutes],Aminobacter.3,-0.7805123109330815,1.510545679955337e-16,75,-0.7805123109330815,1.510545679955337e-16,75,4.2099467561718196e-14,3.3602677870552565e-14,True,-0.36905020956774887,0.0011211339540351801,75,0.006534419791270132,True
Ax_time [minutes],Inhella.3,-0.7796130446647636,1.7235309268215594e-16,75,-0.7796130446647636,1.7235309268215594e-16,75,4.7334197899022756e-14,3.7804385350129394e-14,True,-0.36843230115126036,0.0011445662632302495,75,0.006612303632151295,True
Ax_time [minutes],Paracoccus.9,-0.7794530741458567,1.764336697337057e-16,75,-0.7794530741458567,1.764336697337057e-16,75,4.7757674990868176e-14,3.8165644723223536e-14,True,-0.44896376251907316,5.342055979241452e-05,75,0.0007411162168384268,True
Ax_time [minutes],midas_g_28815.1,-0.7792758440963015,1.8106329745600824e-16,75,-0.7792758440963015,1.8106329745600824e-16,75,4.8315649409803626e-14,3.863422712928677e-14,True,-0.44313128834033605,6.850753251143909e-05,75,0.0008820904512910785,True
Ax_time [minutes],midas_g_71310.7,0.7790532657095751,1.8704366991676123e-16,75,0.7790532657095751,1.8704366991676123e-16,75,4.921341315117581e-14,3.937457550744384e-14,True,0.4775266378203866,1.4769395616046106e-05,75,0.0002645064487600985,True
Ax_time [minutes],midas_g_547.5,-0.7727227669117931,4.641130306410934e-16,75,-0.7727227669117931,4.641130306410934e-16,75,1.1879083522361316e-13,9.514620469992502e-14,True,-0.39715772871872473,0.0004186968740332086,75,0.0030892615799453967,True
