root_iterativeID	n_MAGs	genus	K00023	K00362	K00363	K00368	K00370	K00371	K00374	K00376	K00626	K00634	K00688	K00700	K00702	K00703	K00925	K00937	K01214	K01514	K01659	K01720	K01847	K01848	K01895	K01908	K02035	K02036	K02037	K02038	K02039	K02040	K02305	K02567	K02568	K03385	K03821	K04561	K05973	K07636	K07657	K15864	K15876	K22468
Hoeflea	1	Pseudohoeflea	0.5679	0.0000	0.0000	0.1303	0.0000	0.0000	0.0000	0.0000	3.3761	2.8078	1.9486	0.4472	0.0000	0.2800	1.1872	0.2849	0.0000	0.0000	0.0000	0.0000	0.3254	0.0000	0.8141	0.2151	13.6004	0.3394	0.1041	0.6236	0.4525	0.1646	0.0576	1.0511	0.6389	0.0000	0.3448	0.6136	4.2747	0.7306	0.5037	0.7802	0.0000	0.6219
Inhella_m	2	Inhella	1.1533	0.4010	0.6515	0.0000	0.3210	0.4846	1.0299	0.4932	5.1716	0.2659	0.4008	0.0000	0.1696	0.5548	0.3172	0.6652	0.7503	0.0000	0.0000	0.0000	0.4014	0.0000	1.6850	1.1077	3.4901	1.0925	1.0117	1.1912	1.2446	1.0882	1.0198	1.1845	1.8802	0.0000	1.9509	0.3989	0.7084	0.6944	1.3962	0.6724	0.0000	1.4405
OLB10_m	1	OLB10	1.6618	0.0000	0.0000	4.0687	0.0000	0.0000	0.0000	3.2604	0.9212	0.0000	0.0000	0.0000	0.0000	0.9948	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.4038	1.4271	0.0000	1.3012	1.5243	3.5615	3.0432	1.5993	2.5707	1.3802	0.0000	0.0000	0.0000	0.0000	1.8101	0.0000	2.8313	0.0000	0.0000	0.0000	0.0000
Amaricoccus	1	Amaricoccus	0.6508	0.3021	1.5516	1.1663	0.0000	0.0000	0.0000	0.8489	2.7052	0.7608	0.3811	0.6221	0.0000	0.2553	0.3694	0.3265	1.3165	0.0000	0.0000	0.0000	0.6979	0.0000	2.7071	0.2834	2.4477	1.7951	0.9902	1.4002	0.9511	2.4662	0.8158	0.0000	0.0000	0.0000	1.7232	0.5091	1.9778	0.5263	0.5888	0.0000	0.0000	4.4562
Brevundimonas	2	Brevundimonas	0.8312	0.0000	0.0000	0.0000	0.7572	0.8228	1.6567	0.0000	12.6500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3922	0.0000	0.0000	0.0000	0.0000	0.8906	0.0000	1.3099	0.0000	0.0000	0.7660	0.4323	0.5632	1.8431	0.8045	0.0000	0.0000	0.0000	0.0000	0.8045	1.4948	0.8535	0.9352	0.7457	0.0000	0.0000	0.8548
Flavobacterium	1	Flavobacterium	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1722	1.9545	0.0000	0.0000	2.0187	0.0000	5.0586	0.0000	1.0125	0.0000	0.0000	0.0000	0.0000	8.4486	0.0000	2.6963	0.9905	0.9203	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5649	0.0000	6.2390	0.0000	0.0000	0.0000	0.0000
JALHNB01_m	2	JALHNB01	0.0000	0.0000	0.0000	1.0894	0.0000	0.0000	0.0000	0.0000	1.9917	0.6972	0.9956	0.4625	0.0000	0.4137	0.0000	0.6705	0.0000	0.0000	0.0000	0.0000	0.0000	1.1556	0.7082	0.0000	12.1383	0.6883	1.0361	2.0728	0.0000	1.3082	0.6416	0.0000	0.0000	0.2922	0.0000	0.0000	0.0000	3.6305	2.4170	0.0000	0.5846	0.0000
CFX2_m	1	CFX2	0.0000	0.0000	0.0000	3.9772	0.0000	0.0000	0.0000	0.0000	14.4015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0828	8.6744	2.4459	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JANWYT01_m	1	JANWYT01	0.0000	0.0000	0.0000	2.0502	0.0000	0.0000	0.0000	0.0000	3.9167	0.0000	0.3648	0.3973	0.0000	0.4303	0.0000	0.7154	0.5963	0.0000	0.0000	0.0000	0.0000	3.2954	0.8083	0.0000	6.3150	0.7928	0.8659	1.5457	0.0000	0.5052	0.0000	0.0000	0.0000	0.9556	0.0000	0.0000	0.0000	3.2169	4.4064	0.0000	0.5747	0.0000
Leadbetterella_m	1	Leadbetterella	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0960	5.6269	0.0000	1.2996	1.8807	0.0000	1.2438	1.3939	1.7453	0.0000	0.0000	0.0000	0.0000	1.0513	2.5795	1.2831	1.1617	0.0000	0.0000	0.0000	0.0000	0.0000	1.7273	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.8611	0.0000	0.0000	0.0000	1.6798
